Category,Title,Start,End
성적 관련,2023-2학기 성적입력,2023-12-11,2024-01-01
계절수업 관련,2023-동계 계절수업,2023-12-26,2024-01-11
기타,2023-2학기 이의신청,2024-01-03,2024-01-05
성적 관련,2023-2학기 성적정정,2024-01-03,2024-01-06
성적 관련,2023-2학기 성적확인,2024-01-03,2024-01-07
성적 관련,2023-2학기 성적확정,2024-01-11,2024-01-11
수강신청 관련,2024-1학기 장바구니수강신청 1차(재학생),2024-01-26,2024-01-29
수강신청 관련,2024-1학기 수강신청(재학생 1차),2024-01-31,2024-02-02
수강신청 관련,2024-1학기 교차수강신청(서울↔천안),2024-02-06,2024-02-07
수강신청 관련,2024-1학기 장바구니수강신청 2차(재학생),2024-02-15,2024-02-18
행사 관련,2023학년도 전기 학위수여식(서울·천안),2024-02-20,2024-02-20
등록 관련,2024-1학기 등록,2024-02-20,2024-02-22
수강신청 관련,2024-1학기 수강신청(신·편입생),2024-02-20,2024-02-22
행사 관련,2024학년도 입학식(천안),2024-02-21,2024-02-21
행사 관련,2024학년도 입학식(서울),2024-02-22,2024-02-22
수강신청 관련,2024-1학기 수강신청(재학생 2차),2024-02-22,2024-02-22
기타,2024-1학기 개강,2024-03-04,2024-03-04
수강신청 관련,2024-1학기 수강신청 정정 및 취소,2024-03-04,2024-03-10
기타,2024-1학기 수강포기,2024-03-18,2024-03-20
강의 관련,2024-1학기 중간강의평가 ,2024-04-08,2024-04-30
시험 관련,2024-1학기 중간고사,2024-04-22,2024-04-28
강의 관련,2024-1학기 기말강의평가,2024-06-03,2024-07-01
시험 관련,2024-1학기 기말고사,2024-06-10,2024-06-16
성적 관련,2024-1학기 성적입력,2024-06-10,2024-06-30
시험 관련,2024-1학기 자율보강(기말고사)주간,2024-06-17,2024-06-23
방학 관련,2024-하계방학 시작,2024-06-24,2024-06-24
계절수업 관련,2024-하계 계절수업,2024-06-24,2024-07-09
기타,2024-1학기 이의신청,2024-07-02,2024-07-04
성적 관련,2024-1학기 성적정정,2024-07-02,2024-07-05
성적 관련,2024-1학기 성적확인,2024-07-02,2024-07-06
성적 관련,2024-1학기 성적확정,2024-07-10,2024-07-10
수강신청 관련,2024-2학기 수강신청(재학생 1차),2024-07-24,2024-07-26
수강신청 관련,2024-2학기 교차수강신청(서울↔천안),2024-08-06,2024-08-07
수강신청 관련,2024-2학기 수강신청(재학생 2차),2024-08-22,2024-08-22
등록 관련,2024-2학기 등록,2024-08-22,2024-08-26
행사 관련,2023학년도 후기 학위수여식,2024-08-23,2024-08-23
기타,2024-2학기 개강,2024-09-02,2024-09-02
수강신청 관련,2024-2학기 수강신청 정정 및 취소,2024-09-02,2024-09-08
기타,2024-2학기 수강포기,2024-09-19,2024-09-20
강의 관련,2024-2학기 중간강의평가,2024-10-07,2024-10-31
시험 관련,2024-2학기 중간고사,2024-10-21,2024-10-27
강의 관련,2024-2학기 기말강의평가,2024-12-02,2025-01-04
시험 관련,2024-2학기 기말고사,2024-12-09,2024-12-15
성적 관련,2024-2학기 성적입력,2024-12-09,2024-12-29
시험 관련,2024-2학기 자율보강(기말고사)주간,2024-12-16,2024-12-22
방학 관련,2024-동계방학 시작,2024-12-23,2024-12-23
계절수업 관련,2024-동계 계절수업,2024-12-23,2025-01-09
기타,2024-2학기 이의신청,2024-12-31,2025-01-02
성적 관련,2024-2학기 성적정정,2024-12-31,2025-01-03
성적 관련,2024-2학기 성적확인,2024-12-31,2025-01-04
성적 관련,2024-2학기 성적확정,2025-01-08,2025-01-08
수강신청 관련,2025-1학기 장바구니 수강신청 1차(재학생),2025-01-31,2025-02-03
수강신청 관련,2025-1학기 수강신청(재학생1차),2025-02-05,2025-02-07
수강신청 관련,2025-1학기 교차수강신청(서울↔천안),2025-02-11,2025-02-12
수강신청 관련,2025-1학기 장바구니 수강신청 2차(재학생),2025-02-14,2025-02-14
수강신청 관련,2025-1학기 수강신청(신·편입생),2025-02-18,2025-02-20
등록 관련,2025-1학기 등록,2025-02-19,2025-02-24
수강신청 관련,2025-1학기 수강신청(재학생 2차),2025-02-20,2025-02-20
행사 관련,2024학년도 전기 학위수여식(서울·천안),2025-02-25,2025-02-25
행사 관련,2025학년도 입학식(천안),2025-02-26,2025-02-26
행사 관련,2025학년도 입학식(서울),2025-02-27,2025-02-27
기타,2025-1학기 폐강 공고,2025-02-28,2025-02-28
기타,2025-1학기 개강,2025-03-04,2025-03-04
수강신청 관련,2025-1학기 수강신청 정정 및 취소,2025-03-04,2025-03-10
기타,2025-1학기 수강포기,2025-03-18,2025-03-20
강의 관련,2025-1학기 중간강의평가 ,2025-04-07,2025-04-30
시험 관련,2025-1학기 중간고사,2025-04-22,2025-04-28
강의 관련,2025-1학기 기말강의평가,2025-06-02,2025-07-05
성적 관련,2025-1학기 성적입력,2025-06-09,2025-06-29
시험 관련,2025-1학기 기말고사,2025-06-10,2025-06-16
시험 관련,2025-1학기 자율보강(기말고사)주간,2025-06-17,2025-06-23
방학 관련,2025-하계방학 시작,2025-06-24,2025-06-24
계절수업 관련,2025-하계 계절수업,2025-06-24,2025-07-09
기타,2025-1학기 이의신청,2025-07-01,2025-07-03
성적 관련,2025-1학기 성적정정,2025-07-01,2025-07-04
성적 관련,2025-1학기 성적확인,2025-07-01,2025-07-05
성적 관련,2025-하계 계절수업 성적입력 기간,2025-07-09,2025-07-12
성적 관련,2025-1학기 성적확정,2025-07-10,2025-07-10
기타,2025-2학기 대상 학적 변동 기간,2025-07-14,2025-07-18
성적 관련,"2025-하계 계절수업 성적 확인, 이의신청 및 정정 기간",2025-07-15,2025-07-16
성적 관련,2025-하계 계절수업 성적 확정,2025-07-17,2025-07-17
수강신청 관련,2025-2학기 수강신청(재학생 1차),2025-07-23,2025-07-25
수강신청 관련,2025-2학기 교차수강신청(서울↔천안),2025-08-05,2025-08-06
수강신청 관련,2025-2학기 수강신청(재학생 2차),2025-08-21,2025-08-21
행사 관련,2024학년도 후기 학위수여식,2025-08-22,2025-08-22
등록 관련,2025-2학기 등록,2025-08-22,2025-08-26
기타,2025-2학기 개강,2025-09-01,2025-09-01
수강신청 관련,2025-2학기 수강신청 정정 및 취소,2025-09-01,2025-09-07
기타,2025-2학기 수강포기,2025-09-18,2025-09-19
강의 관련,2025-2학기 중간강의평가,2025-10-10,2025-10-31
시험 관련,2025-2학기 중간고사,2025-10-20,2025-10-26
강의 관련,2025-2학기 기말강의평가,2025-12-01,2026-01-03
시험 관련,2025-2학기 기말고사,2025-12-08,2025-12-14
성적 관련,2025-2학기 성적입력,2025-12-09,2025-12-28
시험 관련,2025-2학기 자율보강(기말고사)주간,2025-12-15,2025-12-21
방학 관련,2025-동계방학 시작,2025-12-22,2025-12-22
계절수업 관련,2025-동계 계절수업,2025-12-22,2026-01-08
기타,2025-2학기 이의신청,2025-12-30,2026-01-01
성적 관련,2025-2학기 성적정정,2025-12-30,2026-01-02
성적 관련,2025-2학기 성적확인,2025-12-30,2026-01-03
성적 관련,2025-2학기 성적확정,2026-01-08,2026-01-08
행사 관련,2025학년도 전기 학위수여식(서울·천안),2026-02-24,2026-02-24
행사 관련,2026학년도 입학식(천안),2026-02-25,2026-02-25
행사 관련,2026학년도 입학식(서울),2026-02-26,2026-02-26
